contact_city,clean_city,count,map_city_tier1
"KOTA DAMANSARA,","KOTA DAMANSARA,",1.0,PETALING JAYA
TAMAN TUN DR ISMAIL,TAMAN TUN DR ISMAIL,1.0,PETALING JAYA
BANDAR UTAMA,BANDAR UTAMA,1.0,PETALING JAYA
PJ,PJ,1.0,PETALING JAYA
PUCHONG,PUCHONG,228.0,PUCHONG
"PUCHONG,","PUCHONG,",5.0,PUCHONG
PUTRA HEIGHTS,PUTRA HEIGHTS,4.0,PUCHONG
BANDAR PUCHONG,BANDAR PUCHONG,2.0,PUCHONG
BANDAR PUCHONG JAYA,BANDAR PUCHONG JAYA,1.0,PUCHONG
PUCHONG JAYA,PUCHONG JAYA,1.0,PUCHONG
PUCHONG SOUTH,PUCHONG SOUTH,1.0,PUCHONG
PUTRAJAYA,PUTRAJAYA,26.0,PUTRAJAYA
DENGKIL,DENGKIL,11.0,PUTRAJAYA
JALAN P11 A1/1,JALAN P11 A1/1,1.0,PUTRAJAYA
PRESINT 17,PRESINT 17,1.0,PUTRAJAYA
PRESINT 8,PRESINT 8,1.0,PUTRAJAYA
"PUTRAJAYA,","PUTRAJAYA,",1.0,PUTRAJAYA
RAWANG,RAWANG,254.0,RAWANG
"RAWANG,","RAWANG,",21.0,RAWANG
BUKIT BERUNTONG,BUKIT BERUNTONG,1.0,RAWANG
RAWANAG,RAWANAG,1.0,RAWANG
RAWANG SELANGOR,RAWANG SELANGOR,1.0,RAWANG
RWANG,RWANG,1.0,RAWANG
KOTA KINABALU,KOTA KINABALU,6.0,SABAH
TAWAU,TAWAU,2.0,SABAH
LIKAS,LIKAS,1.0,SABAH
SANDAKAN,SANDAKAN,1.0,SABAH
MIRI,MIRI,7.0,SARAWAK
SIBU,SIBU,7.0,SARAWAK
KUCHING,KUCHING,6.0,SARAWAK
BINTULU,BINTULU,3.0,SARAWAK
BINTANGOR,BINTANGOR,1.0,SARAWAK
LIMBANG,LIMBANG,1.0,SARAWAK
SANIKEI,SANIKEI,1.0,SARAWAK
SARAWAK,SARAWAK,1.0,SARAWAK
SRI AMAN,SRI AMAN,1.0,SARAWAK
SELANGOR,SELANGOR,13.0,SELANGOR
SELANGOR DARUL EHSAN,SELANGOR DARUL EHSAN,1.0,SELANGOR
SELANGOR DARUL EHSAN.,SELANGOR DARUL EHSAN.,1.0,SELANGOR
BUKIT JALIL,BUKIT JALIL,21.0,SEPUTEH
BANDAR BARU SRI PETALING,BANDAR BARU SRI PETALING,2.0,SEPUTEH
BUKIT OUG,BUKIT OUG,1.0,SEPUTEH
SRI PETALING,SRI PETALING,1.0,SEPUTEH
TAMAN BUKIT INDAH,TAMAN BUKIT INDAH,1.0,SEPUTEH
TAMAN DESA,TAMAN DESA,1.0,SEPUTEH
TAMAN OUG PARKLANE,TAMAN OUG PARKLANE,1.0,SEPUTEH
"TAMAN OUG,","TAMAN OUG,",1.0,SEPUTEH
TAMAN SEPUTIH,TAMAN SEPUTIH,1.0,SEPUTEH
SERI KEMBANGAN,SERI KEMBANGAN,107.0,SERDANG
"SERI KEMBANGAN,","SERI KEMBANGAN,",4.0,SERDANG
SERDANG,SERDANG,2.0,SERDANG
SRI KEMBANGAN,SRI KEMBANGAN,1.0,SERDANG
SHAH ALAM,SHAH ALAM,313.0,SHAH ALAM
"SHAH ALAM,","SHAH ALAM,",7.0,SHAH ALAM
KOTA KEMUNING,KOTA KEMUNING,2.0,SHAH ALAM
KOTA KEMUNING SHAH ALAM,KOTA KEMUNING SHAH ALAM,2.0,SHAH ALAM
SHAH ALAM.,SHAH ALAM.,1.0,SHAH ALAM
Singapore,SINGAPORE,85.0,SINGAPORE
TOA PAYOH,TOA PAYOH,1.0,SINGAPORE
